Date,TH,ID,KR,MY,PH,SG,HK
1996-01-02,,512.4600219726562,,993.1799926757812,2578.306884765625,2258.10009765625,10204.900390625
1996-01-03,,519.8197631835938,,1020.1099853515625,2631.0634765625,2306.199951171875,10397.400390625
1996-01-04,,532.7792358398438,,1046.0999755859375,2708.7734375,2365.10009765625,10573.900390625
1996-01-05,,533.2592163085938,,1042.06005859375,2695.427001953125,2365.5,10529.900390625
1996-01-08,,533.0792236328125,,1054.5400390625,2694.93701171875,2385.89990234375,10466.7001953125
1996-01-09,,530.7893676757812,,1050.75,2681.070556640625,2373.60009765625,10427.2001953125
1996-01-10,,528.619384765625,,1052.77001953125,2657.796630859375,2362.10009765625,10304.599609375
1996-01-11,,533.7592163085938,,1046.7900390625,2664.044921875,2369.5,10429.7998046875
1996-01-12,,550.9685668945312,,1061.3299560546875,2746.5537109375,2402.0,10540.0
1996-01-15,,563.8781127929688,,1072.550048828125,2778.145751953125,2413.60009765625,10634.5
1996-01-16,,558.408203125,,1069.6600341796875,2776.0361328125,2397.800048828125,10671.2001953125
1996-01-17,,556.9883422851562,,1072.3499755859375,2748.0634765625,2390.10009765625,10593.7998046875
1996-01-18,,557.6883544921875,,1038.8599853515625,2730.56787109375,2396.300048828125,10536.5
1996-01-19,,562.3280639648438,,1056.68994140625,2763.809326171875,2403.199951171875,10764.099609375
1996-01-22,,571.2977905273438,,1064.530029296875,2830.422119140625,2448.5,10955.2998046875
1996-01-23,,574.2776489257812,,1071.47998046875,2872.941162109375,2433.0,10957.2001953125
1996-01-24,,569.9378662109375,,1060.5,2875.6005859375,2410.300048828125,10960.2001953125
1996-01-25,,570.1078491210938,,1056.68994140625,2901.9736328125,2433.0,11103.099609375
1996-01-26,,566.837890625,,1051.4000244140625,2892.016357421875,2437.300048828125,11111.900390625
1996-01-29,,565.762939453125,,1041.260009765625,2885.837890625,2424.10009765625,11059.0
1996-01-30,,569.1478271484375,,1052.8900146484375,2867.642578125,2423.699951171875,11201.5
1996-01-31,,578.5374755859375,,1055.4200439453125,2885.01806640625,2449.199951171875,11359.7001953125
1996-02-01,,581.037353515625,,,2900.084228515625,2452.300048828125,11362.7998046875
1996-02-02,,587.547119140625,,1073.1800537109375,2926.507568359375,2468.199951171875,11469.400390625
1996-02-05,,591.1170043945312,,1079.8800048828125,2918.489501953125,2484.0,11484.099609375
1996-02-06,,592.8969116210938,,1082.7900390625,2914.28076171875,2493.699951171875,11391.400390625
1996-02-07,,591.3369140625,,1080.010009765625,2882.19873046875,2491.89990234375,11388.599609375
1996-02-08,,592.626953125,,1071.9000244140625,2844.858642578125,2477.199951171875,11331.7998046875
1996-02-09,,580.9873657226562,,1059.550048828125,2823.94384765625,2456.39990234375,11310.2998046875
1996-02-12,,577.4525146484375,,1059.6700439453125,2853.286376953125,2413.60009765625,11256.599609375
1996-02-13,,584.7981567382812,,1064.22998046875,2904.912841796875,2422.699951171875,11200.2001953125
1996-02-14,,590.1770629882812,,1069.9599609375,2942.63330078125,2401.800048828125,11364.5
1996-02-15,,590.7429809570312,,1085.3199462890625,2932.94580078125,2439.199951171875,11471.7998046875
1996-02-16,,595.5037841796875,,1090.050048828125,2931.286376953125,2453.89990234375,11595.0
1996-02-19,,,,,2940.963623046875,,
1996-02-20,,,,,2922.958251953125,2453.89990234375,
1996-02-21,,,,,2935.89501953125,,
1996-02-22,,,,,2952.15087890625,2454.800048828125,11338.5
1996-02-23,,,,,2949.88134765625,2466.0,11390.400390625
1996-02-26,,594.1819458007812,,1090.06005859375,2932.90576171875,2471.199951171875,11210.400390625
1996-02-27,,597.3367919921875,,1077.3199462890625,2893.176025390625,2445.60009765625,11197.0
1996-02-28,,595.2528076171875,,1076.949951171875,2881.708984375,2438.60009765625,11264.7001953125
1996-02-29,,585.1861572265625,,1084.4100341796875,2881.859130859375,2438.5,11125.7001953125
1996-03-01,,589.090087890625,,1093.56005859375,2947.422119140625,2421.39990234375,11194.900390625
1996-03-04,,592.02392578125,,1106.9000244140625,2905.0830078125,2422.300048828125,11254.099609375
1996-03-05,,591.4598999023438,,1124.3900146484375,2907.93212890625,2432.39990234375,11454.099609375
1996-03-06,,587.8511352539062,,1136.1400146484375,2918.139404296875,2429.699951171875,11378.7001953125
1996-03-07,,581.5213623046875,,1132.5,2882.598876953125,2402.39990234375,11194.5
1996-03-08,,568.075927734375,,1116.0999755859375,2876.050537109375,2400.800048828125,11217.7998046875
1996-03-11,,544.517822265625,,1082.989990234375,2809.92724609375,2316.39990234375,10397.5
1996-03-12,,560.8402099609375,,1099.93994140625,2803.139404296875,2353.89990234375,10602.5
1996-03-13,,560.1072387695312,,1084.8299560546875,2769.207763671875,2300.699951171875,10249.5
1996-03-14,,569.8848266601562,,1109.0,2782.914306640625,2329.60009765625,10451.7998046875
1996-03-15,,576.7675170898438,,1119.8900146484375,2821.024658203125,2367.300048828125,10557.599609375
1996-03-18,,578.8324584960938,,1115.719970703125,2839.25,2361.5,10601.2998046875
1996-03-19,,587.3231201171875,,1122.530029296875,2874.6806640625,2385.300048828125,10880.5
1996-03-20,,585.9561767578125,,1126.9000244140625,2859.0849609375,2378.300048828125,10836.5
